('goto', <Point 0,64>, <Point 0,-32>)
['end']
Game over
         10939908 function calls (10938793 primitive calls) in 41.299 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      486    0.001    0.000    0.001    0.000 Point.py:56(tuplize)
      368    0.001    0.000    0.001    0.000 sre_parse.py:96(__init__)
       95    0.000    0.000    0.001    0.000 sre_parse.py:263(_escape)
        8    0.000    0.000    0.001    0.000 core.py:5624(__init__)
       15    0.000    0.000    0.001    0.000 nosetester.py:108(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:3(<module>)
        6    0.000    0.000    0.000    0.000 extras.py:181(__init__)
        8    0.000    0.000    0.000    0.000 core.py:5628(getdoc)
      480    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 extras.py:185(getdoc)
       41    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      289    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       52    0.000    0.000    0.000    0.000 {posix.access}
       23    0.000    0.000    0.000    0.000 numerictypes.py:210(bitname)
        3    0.000    0.000    0.000    0.000 pkgutil.py:235(load_module)
        3    0.000    0.000    0.000    0.000 {imp.load_module}
      210    0.000    0.000    0.000    0.000 {built-in method group}
      222    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
      162    0.000    0.000    0.000    0.000 Point.py:122(__idiv__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:410(_set_array_types)
       25    0.000    0.000    0.000    0.000 core.py:611(__init__)
      232    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
      401    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
      384    0.000    0.000    0.000    0.000 {ord}
      103    0.000    0.000    0.000    0.000 pkg_resources.py:465(__iter__)
      235    0.000    0.000    0.000    0.000 pkgutil.py:173(__init__)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:173(get_provider)
       24    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:253(_add_types)
       66    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       66    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
      256    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 core.py:2230(MaskedArray)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1236(__init__)
